"drug_name","strength","unit","form","default_route","aliases","category","usual_frequencies","default_dose","max_dose","notes"
"PARICALCITOL","1 mL","mL","Solution","","Zemplar 5micrograms/1ml solution for injection vials","","","","",""
"PAROXETINE","10 mg","mg","Tablets","Oral","Paroxetine 10mg tablets; Seroxat 10mg tablets","","","","",""
"PAROXETINE","20 mg","mg","Tablets","Oral","Paroxetine 20mg tablets","","","","",""
"PAROXETINE","30 mg","mg","Tablets","Oral","Paroxetine 30mg tablets","","","","",""
"PAROXETINE","40 mg","mg","Tablets","Oral","Paroxetine 40mg tablets","","","","",""
"PASIREOTIDE","0.3 mg/1 mL","mg","Solution","","Signifor 0.3mg/1ml solution for injection ampoules","","","","",""
"PASIREOTIDE","0.6 mg/1 mL","mg","Solution","","Signifor 0.6mg/1ml solution for injection ampoules","","","","",""
"PASIREOTIDE","0.9 mg/1 mL","mg","Solution","","Signifor 0.9mg/1ml solution for injection ampoules","","","","",""
"PASIREOTIDE","10 mg","mg","Powder","","Signifor 10mg powder and solvent for suspension for injection vials","","","","",""
"PASIREOTIDE","20 mg","mg","Powder","","Signifor 20mg powder and solvent for suspension for injection vials","","","","",""
"PASIREOTIDE","30 mg","mg","Powder","","Signifor 30mg powder and solvent for suspension for injection vials","","","","",""
"PASIREOTIDE","40 mg","mg","Powder","","Signifor 40mg powder and solvent for suspension for injection vials","","","","",""
"PASIREOTIDE","60 mg","mg","Powder","","Signifor 60mg powder and solvent for suspension for injection vials","","","","",""
"PATIROMER CALCIUM","16.8 g","g","Powder","","Veltassa 16.8g oral powder sachets","","","","",""
"PATIROMER CALCIUM","8.4 g","g","Powder","","Veltassa 8.4g oral powder sachets","","","","",""
"PATISIRAN","10 mg/5 mL","mg","Solution","","Onpattro 10mg/5ml concentrate for solution for infusion vials","","","","",""
"PAZOPANIB SPECIALIST DRUG","200 mg","mg","Tablets","Oral","Pazopanib 200mg tablets; Votrient 200mg tablets","","","","",""
"PAZOPANIB SPECIALIST DRUG","400 mg","mg","Tablets","Oral","Pazopanib 400mg tablets; Votrient 400mg tablets","","","","",""
"PEANUT PROTEIN","","","","","Palforzia initial dose escalation pack","","","","",""
"PEANUT PROTEIN","0.5 mg","mg","Powder","","Palforzia 0.5mg oral powder in capsules for opening","","","","",""
"PEANUT PROTEIN","1 mg","mg","Powder","","Palforzia 1mg oral powder in capsules for opening","","","","",""
"PEANUT PROTEIN","10 mg","mg","Powder","","Palforzia 10mg oral powder in capsules for opening","","","","",""
"PEANUT PROTEIN","100 mg","mg","Powder","","Palforzia 100mg oral powder in capsules for opening","","","","",""
"PEANUT PROTEIN","12 mg","mg","","","Palforzia Level 3 (12mg daily) 2 week up-dosing pack","","","","",""
"PEANUT PROTEIN","120 mg","mg","","","Palforzia Level 7 (120mg daily) 2 week up-dosing pack","","","","",""
"PEANUT PROTEIN","160 mg","mg","","","Palforzia Level 8 (160mg daily) 2 week up-dosing pack","","","","",""
"PEANUT PROTEIN","20 mg","mg","","","Palforzia Level 4 (20mg daily) 2 week up-dosing pack","","","","",""
"PEANUT PROTEIN","20 mg","mg","Powder","","Palforzia 20mg oral powder in capsules for opening","","","","",""
"PEANUT PROTEIN","200 mg","mg","","","Palforzia Level 9 (200mg daily) 2 week up-dosing pack","","","","",""
"PEANUT PROTEIN","240 mg","mg","","","Palforzia Level 10 (240mg daily) 2 week up-dosing pack","","","","",""
"PEANUT PROTEIN","3 mg","mg","","","Palforzia Level 1 (3mg daily) 2 week up-dosing pack","","","","",""
"PEANUT PROTEIN","300 mg","mg","","","Palforzia Level 11 (300mg daily) 2 week up-dosing pack","","","","",""
"PEANUT PROTEIN","300 mg","mg","Powder","","Palforzia maintenance pack 300mg oral powder sachets","","","","",""
"PEANUT PROTEIN","40 mg","mg","","","Palforzia Level 5 (40mg daily) 2 week up-dosing pack","","","","",""
"PEANUT PROTEIN","6 mg","mg","","","Palforzia Level 2 (6mg daily) 2 week up-dosing pack","","","","",""
"PEANUT PROTEIN","80 mg","mg","","","Palforzia Level 6 (80mg daily) 2 week up-dosing pack","","","","",""
"PEGASPARGASE SPECIALIST DRUG","","","Powder","","Oncaspar 3,750unit powder for solution for injection vials","","","","",""
"PEGCETACOPLAN","1080 mg/20 mL","mg","Solution","","Aspaveli 1080mg/20ml solution for infusion vials","","","","",""
"PEGFILGRASTIM","6 mg/0.6 mL","mg","Solution","","Neulasta 6mg/0.6ml solution for injection pre-filled syringes; Pelgraz 6mg/0.6ml solution for injection pre-filled injector; Pelgraz 6mg/0.6ml solution for injection pre-filled syringes; Pelmeg 6mg/0.6ml solution for injection pre-filled syringes","","","","",""
"PEGINTERFERON ALFA","0.5 mL","mL","Solution","","Pegasys 90micrograms/0.5ml solution for injection pre-filled syringes; Pegasys 135micrograms/0.5ml solution for injection pre-filled syringes; Pegasys 180micrograms/0.5ml solution for injection pre-filled syringes","","","","",""
"PEGINTERFERON BETA 1A","0.5 mL","mL","Solution","","Plegridy 63micrograms/0.5ml solution for injection pre-filled pens; Plegridy 94micrograms/0.5ml solution for injection pre-filled pens; Plegridy 125micrograms/0.5ml solution for injection pre-filled pens; Plegridy 125micrograms/0.5ml solution for injection pre-filled syringes","","","","",""
"PEGUNIGALSIDASE ALFA","20 mg/10 mL","mg","Solution","","Elfabrio 20mg/10ml concentrate for solution for infusion vials","","","","",""
"PEGUNIGALSIDASE ALFA","5 mg/2.5 mL","mg","Solution","","Elfabrio 5mg/2.5ml concentrate for solution for infusion vials","","","","",""
"PEGVISOMANT","10 mg","mg","Powder","","Somavert 10mg powder and solvent for solution for injection vials","","","","",""
"PEGVISOMANT","15 mg","mg","Powder","","Somavert 15mg powder and solvent for solution for injection vials","","","","",""
"PEGVISOMANT","20 mg","mg","Powder","","Somavert 20mg powder and solvent for solution for injection vials","","","","",""
"PEGVISOMANT","25 mg","mg","Powder","","Somavert 25mg powder and solvent for solution for injection vials","","","","",""
"PEGVISOMANT","30 mg","mg","Powder","","Somavert 30mg powder and solvent for solution for injection vials","","","","",""
"PEGZILARGINASE","2 mg/0.4 mL","mg","Solution","","Loargys 2mg/0.4ml solution for injection vials","","","","",""
"PEMBROLIZUMAB SPECIALIST DRUG","100 mg/4 mL","mg","Solution","","Keytruda 100mg/4ml concentrate for solution for infusion vials","","","","",""
"PEMETREXED SPECIALIST DRUG","1 g/40 mL","g","Solution","","Pemetrexed 1g/40ml concentrate for solution for infusion vials","","","","",""
"PEMETREXED SPECIALIST DRUG","100 mg","mg","Powder","","Alimta 100mg powder for concentrate for solution for infusion vials; Pemetrexed 100mg powder for concentrate for solution for infusion vials","","","","",""
"PEMETREXED SPECIALIST DRUG","100 mg/4 mL","mg","Solution","","Pemetrexed 100mg/4ml concentrate for solution for infusion vials","","","","",""
"PEMETREXED SPECIALIST DRUG","500 mg","mg","Powder","","Alimta 500mg powder for concentrate for solution for infusion vials; Pemetrexed 500mg powder for concentrate for solution for infusion vials","","","","",""
"PEMETREXED SPECIALIST DRUG","500 mg/20 mL","mg","Solution","","Pemetrexed 500mg/20ml concentrate for solution for infusion vials","","","","",""
"PEMETREXED SPECIALIST DRUG","850 mg/34 mL","mg","Solution","","Pemetrexed 850mg/34ml concentrate for solution for infusion vials","","","","",""
"PEMIGATINIB SPECIALIST DRUG","13.5 mg","mg","Tablets","Oral","Pemazyre 13.5mg tablets","","","","",""
"PEMIGATINIB SPECIALIST DRUG","4.5 mg","mg","Tablets","Oral","Pemazyre 4.5mg tablets","","","","",""
"PEMIGATINIB SPECIALIST DRUG","9 mg","mg","Tablets","Oral","Pemazyre 9mg tablets","","","","",""
"PENICILLAMINE","125 mg","mg","Tablets","Oral","Penicillamine 125mg tablets","","","","",""
"PENICILLAMINE","250 mg","mg","Tablets","Oral","Penicillamine 250mg tablets","","","","",""
"PENTAMIDINE ISETIONATE","300 mg","mg","Powder","","Pentacarinat 300mg powder for solution for injection vials; Pentamidine 300mg powder for solution for injection vials","","","","",""
"PENTAZOCINE","25 mg","mg","Tablets","Oral","Pentazocine 25mg tablets","","","","",""
"PENTAZOCINE","50 mg","mg","Capsules","Oral","Pentazocine 50mg capsules","","","","",""
"PENTOSAN POLYSULFATE SODIUM","100 mg","mg","Capsules","Oral","Elmiron 100mg capsules","","","","",""
"PENTOSAN POLYSULFATE SODIUM","50 mg","mg","Capsules","Oral","Fibrase 50mg capsules","","","","",""
"PENTOSTATIN SPECIALIST DRUG","10 mg","mg","Powder","","Nipent 10mg powder for solution for injection vials","","","","",""
"PENTOXIFYLLINE","400 mg","mg","Tablets","Oral","Pentoxifylline 400mg modified-release tablets","","","","",""
"PEPPERMINT OIL","","","Capsules","Oral","Colpermin IBS Relief gastro-resistant modified-release capsules","","","","",""
"PEPPERMINT OIL","0.2 mL","mL","Capsules","Oral","Buscomint 0.2ml gastro-resistant capsules; ColoPep 0.2ml gastro-resistant capsules; Colomint 0.2ml gastro-resistant capsules; Mintec 0.2ml gastro-resistant capsules; PepperMinn 0.2ml gastro-resistant capsules; Purosure Peppermint oil 0.2ml gastro-resistant capsules","","","","",""
"PEPTAC","","","Oral Suspension","Oral","","","Four times daily","10","",""
"PERAMPANEL","","","Oral Suspension","Oral","Perampanel 500micrograms/ml oral suspension sugar free","","","","",""
"PERAMPANEL","10 mg","mg","Tablets","Oral","Fycompa 10mg tablets; Perampanel 10mg tablets","","","","",""
"PERAMPANEL","12 mg","mg","Tablets","Oral","Fycompa 12mg tablets; Perampanel 12mg tablets","","","","",""
"PERAMPANEL","2 mg","mg","Tablets","Oral","Fycompa 2mg tablets; Perampanel 2mg tablets","","","","",""
"PERAMPANEL","4 mg","mg","Tablets","Oral","Fycompa 4mg tablets; Perampanel 4mg tablets","","","","",""
"PERAMPANEL","6 mg","mg","Tablets","Oral","Fycompa 6mg tablets; Perampanel 6mg tablets","","","","",""
"PERAMPANEL","8 mg","mg","Tablets","Oral","Fycompa 8mg tablets; Perampanel 8mg tablets","","","","",""
"PERICYAZINE","10 mg","mg","Tablets","Oral","Pericyazine 10mg tablets","","","","",""
"PERICYAZINE","10 mg/5 mL","mg","Oral Solution","Oral","Pericyazine 10mg/5ml oral solution","","","","",""
"PERICYAZINE","2.5 mg","mg","Tablets","Oral","Pericyazine 2.5mg tablets","","","","",""
"PERINDOPRIL","2 mg","mg","Tablets","Oral","","","Each morning","2","",""
"PERINDOPRIL","4 mg","mg","Tablets","Oral","","","Each morning","4","",""
"PERINDOPRIL","8 mg","mg","Tablets","Oral","","","Each morning","8","",""
"PERINDOPRIL ARGININE","10 mg","mg","Tablets","Oral","Coversyl Arginine 10mg tablets","","","","",""
"PERINDOPRIL ARGININE","2.5 mg","mg","Tablets","Oral","Coversyl Arginine 2.5mg tablets","","","","",""
"PERINDOPRIL ARGININE","5 mg","mg","Tablets","Oral","Coversyl Arginine 5mg tablets","","","","",""
"PERINDOPRIL ARGININE WITH INDAPAMIDE","5 mg/1.25 mg","mg","Tablets","Oral","Coversyl Arginine Plus 5mg/1.25mg tablets","","","","",""
"PERINDOPRIL ERBUMINE","2 mg","mg","Tablets","Oral","Perindopril erbumine 2mg tablets","","","","",""
"PERINDOPRIL ERBUMINE","4 mg","mg","Tablets","Oral","Perindopril erbumine 4mg tablets","","","","",""
"PERINDOPRIL ERBUMINE","8 mg","mg","Tablets","Oral","Perindopril erbumine 8mg tablets","","","","",""
"PERMETHRIN","","","","","Lyclear 1% creme rinse","","","","",""
"PERMETHRIN","","","Cream","Topical","Lyclear 5% dermal cream; Permethrin 5% cream","","","","",""
"PERTUZUMAB SPECIALIST DRUG","420 mg/14 mL","mg","Solution","","Perjeta 420mg/14ml concentrate for solution for infusion vials","","","","",""
"PERTUZUMAB WITH TRASTUZUMAB SPECIALIST DRUG","1200 mg/600 mg","mg","Solution","","Phesgo 1200mg/600mg/15ml solution for injection vials","","","","",""
"PERTUZUMAB WITH TRASTUZUMAB SPECIALIST DRUG","600 mg/600 mg","mg","Solution","","Phesgo 600mg/600mg/10ml solution for injection vials","","","","",""
"PETHIDINE HYDROCHLORIDE","100 mg/2 mL","mg","Solution","","Pethidine 100mg/2ml solution for injection ampoules","","","","",""
"PETHIDINE HYDROCHLORIDE","50 mg","mg","Tablets","Oral","Pethidine 50mg tablets","","","","",""
"PETHIDINE HYDROCHLORIDE","50 mg/1 mL","mg","Solution","","Pethidine 50mg/1ml solution for injection ampoules","","","","",""
"PHENAZONE WITH LIDOCAINE","40 mg","mg","Drops","Ophthalmic/Otic","Otigo 40mg/g / 10mg/g ear drops","","","","",""
"PHENELZINE","15 mg","mg","Tablets","Oral","Phenelzine 15mg tablets","","","","",""
"PHENINDIONE","10 mg","mg","Tablets","Oral","Phenindione 10mg tablets","","","","",""
"PHENINDIONE","25 mg","mg","Tablets","Oral","Phenindione 25mg tablets","","","","",""
"PHENOBARBITAL","15 mg","mg","Tablets","Oral","Phenobarbital 15mg tablets","","","","",""
"PHENOBARBITAL","15 mg/5 mL","mg","","","Phenobarbital 15mg/5ml elixir","","","","",""
"PHENOBARBITAL","200 mg/1 mL","mg","Solution","","Phenobarbital 200mg/1ml solution for injection ampoules","","","","",""
"PHENOBARBITAL","30 mg","mg","Tablets","Oral","Phenobarbital 30mg tablets","","","","",""
"PHENOBARBITAL","30 mg/1 mL","mg","Solution","","Phenobarbital 30mg/1ml solution for injection ampoules","","","","",""
"PHENOBARBITAL","60 mg","mg","Tablets","Oral","Phenobarbital 60mg tablets","","","","",""
"PHENOBARBITAL","60 mg/1 mL","mg","Solution","","Phenobarbital 60mg/1ml solution for injection ampoules","","","","",""
"PHENOL","5 mL","mL","Solution","","Oily phenol 5% solution for injection 5ml ampoules","","","","",""
"PHENOXYBENZAMINE HYDROCHLORIDE","10 mg","mg","Capsules","Oral","Phenoxybenzamine 10mg capsules","","","","",""
"PHENOXYMETHYLPENICILLIN","125 mg/5 mL","mg","Oral Solution","Oral","Phenoxymethylpenicillin 125mg/5ml oral solution; Phenoxymethylpenicillin 125mg/5ml oral solution sugar free","","","","",""
"PHENOXYMETHYLPENICILLIN","250 mg","mg","Tablets","Oral","Phenoxymethylpenicillin 250mg tablets","","","","",""
"PHENOXYMETHYLPENICILLIN","250 mg/5 mL","mg","Oral Solution","Oral","Phenoxymethylpenicillin 250mg/5ml oral solution; Phenoxymethylpenicillin 250mg/5ml oral solution sugar free","","","","",""
"PHENOXYMETHYLPENICILLIN","500 mg","mg","Tablets","Oral","Phenoxymethylpenicillin 500mg tablets","","","","",""
"PHENYLEPHRINE HYDROCHLORIDE","0.5 mL","mL","Drops","Ophthalmic/Otic","Minims phenylephrine hydrochloride 2.5% eye drops 0.5ml unit dose; Minims phenylephrine hydrochloride 10% eye drops 0.5ml unit dose","","","","",""
"PHENYLEPHRINE HYDROCHLORIDE","1 mg/10 mL","mg","Solution","","Phenylephrine 1mg/10ml solution for injection ampoules","","","","",""
"PHENYLEPHRINE HYDROCHLORIDE","10 mg/1 mL","mg","Solution","","Phenylephrine 10mg/1ml concentrate for solution for injection ampoules; Phenylephrine 10mg/1ml solution for injection ampoules","","","","",""
"PHENYLEPHRINE HYDROCHLORIDE","10 mL","mL","Solution","","Phenylephrine 500micrograms/10ml solution for injection pre-filled syringes","","","","",""
"PHENYLEPHRINE HYDROCHLORIDE","2 mg/20 mL","mg","Solution","","Phenylephrine 2mg/20ml solution for injection vials","","","","",""
"PHENYLEPHRINE WITH TROPICAMIDE","5.4 mg/0.28 mg","mg","","","Mydriasert 5.4mg/0.28mg ophthalmic inserts","","","","",""
"PHENYTOIN","","","Oral Suspension","Oral","Dilantin-30 suspension","","","","",""
"PHENYTOIN","100 mg","mg","Capsules","Oral","Phenytoin sodium 100mg capsules","","","","",""
"PHENYTOIN","100 mg","mg","Tablets","Oral","Phenytoin sodium 100mg tablets","","","","",""
"PHENYTOIN","25 mg","mg","Capsules","Oral","Phenytoin sodium 25mg capsules","","","","",""
"PHENYTOIN","250 mg/5 mL","mg","Solution","","Phenytoin sodium 250mg/5ml solution for injection ampoules","","","","",""
"PHENYTOIN","30 mg/5 mL","mg","Oral Suspension","Oral","Epanutin 30mg/5ml oral suspension","","","","",""
"PHENYTOIN","300 mg","mg","Capsules","Oral","Phenytoin sodium 300mg capsules","","","","",""
"PHENYTOIN","50 mg","mg","Capsules","Oral","Phenytoin sodium 50mg capsules","","","","",""
"PHENYTOIN","50 mg","mg","Tablets","Oral","Dilantin Infatabs 50mg chewable tablets; Epanutin Infatabs 50mg chewable tablets","","","","",""
"PHOSPHATE","","","Enema","Rectal","","","","1","",""
"PHOSPHATE","","","Tablets","Oral","AadPhos effervescent tablets; Phosphate Sandoz effervescent tablets","","","","",""
"PHOSPHATE","10 mL","mL","Solution","","Potassium dihydrogen phosphate 13.6% (potassium 10mmol/10ml) solution for infusion 10ml ampoules","","","","",""
"PHOSPHATE","500 mL","mL","","","Polyfusor phosphates infusion 500ml bottles","","","","",""
"PHOSPHATE-SANDOZ","","","Effervescent Tablets","Oral","","","Twice daily","1","",""
"PHYTOMENADIONE","10 mg/1 mL","mg","Solution","","Phytomenadione 10mg/1ml solution for injection ampoules","","","","",""
"PHYTOMENADIONE","2 mg/0.2 mL","mg","Solution","","Phytomenadione 2mg/0.2ml solution for injection ampoules","","","","",""
"PILOCARPINE","","","Drops","Ophthalmic/Otic","Pilocarpine hydrochloride 1% eye drops; Pilocarpine hydrochloride 2% eye drops; Pilocarpine hydrochloride 4% eye drops","","","","",""
"PILOCARPINE","0.5 mL","mL","Drops","Ophthalmic/Otic","Minims pilocarpine nitrate 2% eye drops 0.5ml unit dose","","","","",""
"PILOCARPINE","5 mg","mg","Tablets","Oral","Pilocarpine 5mg tablets; Salagen 5mg tablets","","","","",""
"PIMECROLIMUS","","","Cream","Topical","Elidel 1% cream","","","","",""
"PIMOZIDE","1 mg","mg","Tablets","Oral","Orap 1mg tablets","","","","",""
"PIMOZIDE","4 mg","mg","Tablets","Oral","Orap 4mg tablets","","","","",""
"PIOGLITAZONE","15 mg","mg","Tablets","Oral","Pioglitazone 15mg tablets","","","","",""
"PIOGLITAZONE","30 mg","mg","Tablets","Oral","Pioglitazone 30mg tablets","","","","",""
"PIOGLITAZONE","45 mg","mg","Tablets","Oral","Pioglitazone 45mg tablets","","","","",""
"PIOGLITAZONE WITH METFORMIN","15 mg","mg","Tablets","Oral","Pioglitazone 15mg / Metformin 850mg tablets","","","","",""
"PIOGLITAZONE WITH METFORMIN","15 mg/850 mg","mg","Tablets","Oral","Competact 15mg/850mg tablets","","","","",""
"PIPERACILLIN WITH TAZOBACTAM","2 g","g","Powder","","Piperacillin 2g / Tazobactam 250mg powder for solution for infusion vials","","","","",""
"PIPERACILLIN WITH TAZOBACTAM","2 g/0.25 g","g","Powder","","Tazocin 2g/0.25g powder for solution for infusion vials","","","","",""
"PIPERACILLIN WITH TAZOBACTAM","4 g","g","Powder","","Piperacillin 4g / Tazobactam 500mg powder for solution for infusion vials","","","","",""
"PIPERACILLIN WITH TAZOBACTAM","4 g/0.5 g","g","Powder","","Tazocin 4g/0.5g powder for solution for infusion vials","","","","",""
"PIPERACILLIN/TAZOBACTAM","4.5 g","g","Injection","Intravenous Infusion","","","Eight hourly","4.5","",""
"PIPERACILLIN/TAZOBACTAM","4g/500mg","","Injection","Intravenous Infusion","","","","4.5","",""
"PIRACETAM","1200 mg","mg","Tablets","Oral","Nootropil 1200mg tablets","","","","",""
"PIRACETAM","800 mg","mg","Tablets","Oral","Nootropil 800mg tablets","","","","",""
"PIRFENIDONE","267 mg","mg","Tablets","Oral","Pirfenidone 267mg tablets","","","","",""
"PIRFENIDONE","801 mg","mg","Tablets","Oral","Pirfenidone 801mg tablets","","","","",""
"PIROXICAM","","","Capsules","Oral","Feldene 20 capsules","","","","",""
"PIROXICAM","","","Gel","Topical","Piroxicam 0.5% gel","","","","",""
"PIROXICAM","10 mg","mg","Capsules","Oral","Feldene 10mg capsules; Piroxicam 10mg capsules","","","","",""
"PIROXICAM","20 mg","mg","Capsules","Oral","Piroxicam 20mg capsules","","","","",""
"PIROXICAM","20 mg","mg","Tablets","Oral","Feldene Melt 20mg tablets","","","","",""
"PIRTOBRUTINIB SPECIALIST DRUG","100 mg","mg","Tablets","Oral","Jaypirca 100mg tablets","","","","",""
"PIRTOBRUTINIB SPECIALIST DRUG","50 mg","mg","Tablets","Oral","Jaypirca 50mg tablets","","","","",""
"PITOLISANT","18 mg","mg","Tablets","Oral","Wakix 18mg tablets","","","","",""
"PITOLISANT","4.5 mg","mg","Tablets","Oral","Wakix 4.5mg tablets","","","","",""
"PIVMECILLINAM","200 mg","mg","Tablets","Oral","","","Three times daily","200","",""
"PIVMECILLINAM HYDROCHLORIDE","200 mg","mg","Tablets","Oral","Pivmecillinam 200mg tablets; Selexid 200mg tablets","","","","",""
"PIZOTIFEN","","","Tablets","Oral","Pizotifen 500microgram tablets","","","","",""
"PIZOTIFEN","1.5 mg","mg","Tablets","Oral","Pizotifen 1.5mg tablets","","","","",""
"PLERIXAFOR","24 mg/1.2 mL","mg","Solution","","Plerixafor 24mg/1.2ml solution for injection vials","","","","",""
"PNEUMOCOCCAL POLYSACCHARIDE CONJUGATE VACCINE ADSORBED","0.5 mL","mL","Oral Suspension","Oral","Prevenar 13 vaccine suspension for injection 0.5ml pre-filled syringes; Prevenar 20 vaccine suspension for injection 0.5ml pre-filled syringes; Vaxneuvance vaccine suspension for injection 0.5ml pre-filled syringes","","","","",""
"PODOPHYLLOTOXIN","","","Cream","Topical","Warticon 0.15% cream","","","","",""
"PODOPHYLLOTOXIN","","","Solution","","Warticon 0.5% solution","","","","",""
"POLATUZUMAB VEDOTIN SPECIALIST DRUG","140 mg","mg","Powder","","Polivy 140mg powder for concentrate for solution for infusion vials","","","","",""
"POLATUZUMAB VEDOTIN SPECIALIST DRUG","30 mg","mg","Powder","","Polivy 30mg powder for concentrate for solution for infusion vials","","","","",""
"POLYVINYL ALCOHOL","","","Drops","Ophthalmic/Otic","Liquifilm Tears 1.4% eye drops","","","","",""
"POLYVINYL ALCOHOL","0.4 mL","mL","Drops","Ophthalmic/Otic","Liquifilm Tears 1.4% eye drops 0.4ml unit dose preservative free","","","","",""
"POMALIDOMIDE SPECIALIST DRUG","1 mg","mg","Capsules","Oral","Pomalidomide 1mg capsules","","","","",""
"POMALIDOMIDE SPECIALIST DRUG","2 mg","mg","Capsules","Oral","Pomalidomide 2mg capsules","","","","",""
"POMALIDOMIDE SPECIALIST DRUG","3 mg","mg","Capsules","Oral","Pomalidomide 3mg capsules","","","","",""
"POMALIDOMIDE SPECIALIST DRUG","4 mg","mg","Capsules","Oral","Pomalidomide 4mg capsules","","","","",""
"PONATINIB SPECIALIST DRUG","15 mg","mg","Tablets","Oral","Ponatinib 15mg tablets","","","","",""
"PONATINIB SPECIALIST DRUG","30 mg","mg","Tablets","Oral","Ponatinib 30mg tablets","","","","",""
"PONATINIB SPECIALIST DRUG","45 mg","mg","Tablets","Oral","Ponatinib 45mg tablets","","","","",""
"PONESIMOD","10 mg","mg","Tablets","Oral","Ponvory 10mg tablets","","","","",""
"PONESIMOD","2 mg","mg","Tablets","Oral","Ponvory 2mg tablets","","","","",""
"PONESIMOD","20 mg","mg","Tablets","Oral","Ponvory 20mg tablets","","","","",""
"PONESIMOD","3 mg","mg","Tablets","Oral","Ponvory 3mg tablets","","","","",""
"PONESIMOD","4 mg","mg","Tablets","Oral","Ponvory 4mg tablets","","","","",""
"PONESIMOD","5 mg","mg","Tablets","Oral","Ponvory 5mg tablets","","","","",""
"PONESIMOD","6 mg","mg","Tablets","Oral","Ponvory 6mg tablets","","","","",""
"PONESIMOD","7 mg","mg","Tablets","Oral","Ponvory 7mg tablets","","","","",""
"PONESIMOD","8 mg","mg","Tablets","Oral","Ponvory 8mg tablets","","","","",""
"PONESIMOD","9 mg","mg","Tablets","Oral","Ponvory 9mg tablets","","","","",""
"POSACONAZOLE","100 mg","mg","Tablets","Oral","Noxafil 100mg gastro-resistant tablets; Posaconazole 100mg gastro-resistant tablets","","","","",""
"POSACONAZOLE","300 mg/16.7 mL","mg","Solution","","Noxafil 300mg/16.7ml concentrate for solution for infusion vials; Posaconazole 300mg/16.7ml concentrate for solution for infusion vials","","","","",""
"POSACONAZOLE","40 mg","mg","Oral Suspension","Oral","Noxafil 40mg/ml oral suspension; Posaconazole 40mg/ml oral suspension","","","","",""
"POTASSIUM AMINOBENZOATE","3 g","g","Powder","","Potassium para-aminobenzoate 3g oral powder sachets","","","","",""
"POTASSIUM CHLORIDE","10 mL","mL","Solution","","Potassium chloride 15% (potassium 20mmol/10ml) concentrate for solution for infusion 10ml ampoules; Potassium chloride 15% (potassium 20mmol/10ml) solution for infusion 10ml ampoules","","","","",""
"POTASSIUM CHLORIDE","100 mL","mL","","","Potassium chloride 3% (potassium 40mmol/100ml) infusion 100ml bags","","","","",""
"POTASSIUM CHLORIDE","375 mg/5 mL","mg","Oral Solution","Oral","Potassium chloride 375mg/5ml (potassium 5mmol/5ml) oral solution sugar free","","","","",""
"POTASSIUM CHLORIDE","5 mL","mL","Solution","","Potassium chloride 20% (potassium 13.3mmol/5ml) solution for infusion 5ml ampoules","","","","",""
"POTASSIUM CHLORIDE","50 mL","mL","","","Potassium chloride 3% (potassium 20mmol/50ml) infusion 50ml bags","","","","",""
"POTASSIUM CHLORIDE","600 mg","mg","Tablets","Oral","Aad K 600mg (8mmol) Slow Release tablets; Duro-K 600mg tablets; Kaleorid LP 600mg tablets; PotaChlor 600mg (8mmol) modified-release tablets","","","","",""
"POTASSIUM CHLORIDE WITH CALCIUM CHLORIDE SODIUM CHLORIDE AND SODIUM LACTATE","","","Solution","","Sodium lactate compound (Hartmann's Solution) infusion 1litre Cosinus bags; Sodium lactate compound (Hartmann's Solution) infusion 1litre Freeflex bags; Sodium lactate compound (Hartmann's Solution) infusion 1litre Viaflo bags; Sodium lactate compound (Hartmann's Solution) infusion 1litre bags","","","","",""
"POTASSIUM CHLORIDE WITH GLUCOSE","","","","","Potassium chloride 0.15% (potassium 20mmol/1litre) / Glucose 5% infusion 1litre Viaflo bags; Potassium chloride 0.15% (potassium 20mmol/1litre) / Glucose 5% infusion 1litre polyethylene bottles; Potassium chloride 0.3% (potassium 40mmol/1litre) / Glucose 5% infusion 1litre Viaflo bags; Potassium chloride 0.3% (potassium 40mmol/1litre) / Glucose 5% infusion 1litre polyethylene bottles","","","","",""
"POTASSIUM CHLORIDE WITH GLUCOSE","500 mL","mL","","","Potassium chloride 0.15% (potassium 10mmol/500ml) / Glucose 5% infusion 500ml polyethylene bottles; Potassium chloride 0.3% (potassium 20mmol/500ml) / Glucose 5% infusion 500ml Viaflo bags; Potassium chloride 0.3% (potassium 20mmol/500ml) / Glucose 5% infusion 500ml polyethylene bottles; Potassium chloride 0.15% (potassium 10mmol/500ml) / Glucose 10% infusion 500ml Viaflo bags","","","","",""
"POTASSIUM CHLORIDE WITH GLUCOSE AND SODIUM CHLORIDE","","","","","Potassium chloride 0.15% (potassium 20mmol/1litre) / Glucose 4% / Sodium chloride 0.18% infusion 1litre Viaflo bags; Potassium chloride 0.15% (potassium 20mmol/1litre) / Glucose 4% / Sodium chloride 0.18% infusion 1litre polyethylene bottles; Potassium chloride 0.3% (potassium 40mmol/1litre) / Glucose 4% / Sodium chloride 0.18% infusion 1litre Viaflo bags; Potassium chloride 0.3% (potassium 40mmol/1litre) / Glucose 4% / Sodium chloride 0.18% infusion 1litre polyethylene bottles","","","","",""
